,Date,Trip_ID,Stop_Name,Latitude,Longitude,Visit_Time,Visit_Duration_Min,Travel_Next_Min,Day_Of_Week,Month,Hour,Is_Weekend,Traffic_Level,Stop_Encoded,Cluster,Stop_Frequency,Avg_Stop_Time,Daily_Visits,Route_Efficiency
D3,2026-10-04,TRP-0364,Depot A,17.435,78.535,1900-01-01 09:30:00,54,33,Sunday,October,9,1,2,7,0,41,28.926829268292682,1,1.588235294117647
D3,2026-10-06,TRP-0365,Outlet 1,17.385,78.49,1900-01-01 12:30:00,59,44,Tuesday,October,12,0,1,24,4,35,27.82857142857143,1,1.3111111111111111
D3,2026-10-09,TRP-0366,Office B,17.405,78.515,1900-01-01 08:45:00,51,21,Friday,October,8,0,2,22,4,28,22.071428571428573,1,2.3181818181818183
D3,2026-10-10,TRP-0367,Mall 1,17.37,78.465,1900-01-01 09:30:00,47,38,Saturday,October,9,1,2,17,2,39,29.71794871794872,1,1.205128205128205
D3,2026-10-11,TRP-0368,Railway Station,17.432,78.498,1900-01-01 14:00:00,41,27,Sunday,October,14,1,1,33,0,37,27.62162162162162,1,1.4642857142857142
D3,2026-10-14,TRP-0369,Bank A,17.388,78.482,1900-01-01 14:30:00,43,45,Wednesday,October,14,0,1,1,4,36,27.166666666666668,1,0.9347826086956522
D3,2026-10-15,TRP-0370,School 2,17.408,78.512,1900-01-01 13:30:00,23,36,Thursday,October,13,0,1,37,4,49,26.6734693877551,1,0.6216216216216216
D3,2026-10-17,TRP-0371,Railway Station,17.432,78.498,1900-01-01 16:00:00,14,23,Saturday,October,16,1,1,33,0,37,27.62162162162162,1,0.5833333333333334
D3,2026-10-19,TRP-0372,Store C,17.375,78.48,1900-01-01 10:15:00,39,45,Monday,October,10,0,2,41,2,41,29.146341463414632,1,0.8478260869565217
D3,2026-10-24,TRP-0373,Store H,17.35,78.46,1900-01-01 09:30:00,39,39,Saturday,October,9,1,2,46,2,39,25.41025641025641,1,0.975
D3,2026-10-29,TRP-0374,Warehouse 2,17.34,78.45,1900-01-01 16:00:00,18,10,Thursday,October,16,0,1,52,2,30,24.766666666666666,1,1.6363636363636365
D3,2026-11-01,TRP-0375,Store A,17.385,78.486,1900-01-01 09:30:00,48,25,Sunday,November,9,1,2,39,4,38,28.526315789473685,1,1.8461538461538463
D3,2026-11-08,TRP-0376,Store H,17.35,78.46,1900-01-01 13:15:00,52,25,Sunday,November,13,1,1,46,2,39,25.41025641025641,2,2.0
D3,2026-11-12,TRP-0377,Bank B,17.398,78.498,1900-01-01 15:45:00,11,16,Thursday,November,15,0,1,2,4,29,29.17241379310345,1,0.6470588235294118
D3,2026-11-13,TRP-0378,Store D,17.4,78.5,1900-01-01 12:30:00,43,44,Friday,November,12,0,1,42,4,50,29.36,1,0.9555555555555556
D3,2026-11-17,TRP-0379,Store D,17.4,78.5,1900-01-01 09:30:00,35,39,Tuesday,November,9,0,2,42,4,50,29.36,1,0.875
D3,2026-11-19,TRP-0380,Office C,17.415,78.485,1900-01-01 12:45:00,43,39,Thursday,November,12,0,1,23,4,34,27.852941176470587,1,1.075
D3,2026-11-20,TRP-0381,Store F,17.41,78.51,1900-01-01 10:30:00,12,12,Friday,November,10,0,2,44,4,31,24.774193548387096,1,0.9230769230769231
D3,2026-11-21,TRP-0382,Store B,17.39,78.495,1900-01-01 08:30:00,38,45,Saturday,November,8,1,2,40,4,37,26.35135135135135,1,0.8260869565217391
D3,2026-11-22,TRP-0383,Clinic B,17.392,78.496,1900-01-01 11:00:00,35,19,Sunday,November,11,1,1,5,4,39,28.384615384615383,1,1.75
D3,2026-11-23,TRP-0384,Tech Park 1,17.425,78.515,1900-01-01 10:30:00,36,14,Monday,November,10,0,2,49,0,35,24.485714285714284,1,2.4
D3,2026-11-30,TRP-0385,Clinic B,17.392,78.496,1900-01-01 09:45:00,35,11,Monday,November,9,0,2,5,4,39,28.384615384615383,1,2.9166666666666665
D3,2026-12-06,TRP-0386,Mall 2,17.425,78.525,1900-01-01 15:30:00,22,26,Sunday,December,15,1,1,18,0,32,27.375,1,0.8148148148148148
D3,2026-12-08,TRP-0387,Depot A,17.435,78.535,1900-01-01 16:15:00,33,44,Tuesday,December,16,0,1,7,0,41,28.926829268292682,1,0.7333333333333333
D3,2026-12-14,TRP-0388,Store F,17.41,78.51,1900-01-01 10:15:00,41,11,Monday,December,10,0,2,44,4,31,24.774193548387096,1,3.4166666666666665
D3,2026-12-16,TRP-0389,Outlet 2,17.375,78.505,1900-01-01 11:45:00,51,20,Wednesday,December,11,0,1,25,4,34,26.205882352941178,1,2.4285714285714284
D3,2026-12-17,TRP-0390,Store F,17.41,78.51,1900-01-01 14:15:00,35,15,Thursday,December,14,0,1,44,4,31,24.774193548387096,1,2.1875
D3,2026-12-18,TRP-0391,Mall 1,17.37,78.465,1900-01-01 11:45:00,39,24,Friday,December,11,0,1,17,2,39,29.71794871794872,1,1.56
D3,2026-12-20,TRP-0392,Store D,17.4,78.5,1900-01-01 16:45:00,21,21,Sunday,December,16,1,1,42,4,50,29.36,1,0.9545454545454546
D3,2026-12-22,TRP-0393,Store G,17.42,78.49,1900-01-01 15:15:00,21,44,Tuesday,December,15,0,1,45,4,47,30.80851063829787,1,0.4666666666666667
D3,2026-12-24,TRP-0394,Shopping Center,17.445,78.527,1900-01-01 12:00:00,21,43,Thursday,December,12,0,1,38,0,39,29.94871794871795,1,0.4772727272727273
D3,2026-12-25,TRP-0395,Hub East,17.395,78.55,1900-01-01 13:00:00,59,20,Friday,December,13,0,1,13,0,39,27.94871794871795,1,2.8095238095238093
D3,2026-12-31,TRP-0396,Tech Park 1,17.425,78.515,1900-01-01 08:15:00,18,18,Thursday,December,8,0,2,49,0,35,24.485714285714284,1,0.9473684210526315
D4,2026-01-05,TRP-0397,Clinic B,17.392,78.496,1900-01-01 13:30:00,13,10,Monday,January,13,0,1,5,4,39,28.384615384615383,1,1.1818181818181819
D4,2026-01-08,TRP-0398,Airport Gate,17.24,78.43,1900-01-01 11:00:00,12,45,Thursday,January,11,0,1,0,1,46,28.369565217391305,1,0.2608695652173913
D4,2026-01-09,TRP-0399,Park B,17.358,78.458,1900-01-01 11:45:00,41,28,Friday,January,11,0,1,30,2,33,24.484848484848484,1,1.4137931034482758
D4,2026-01-11,TRP-0400,School 2,17.408,78.512,1900-01-01 14:00:00,17,30,Sunday,January,14,1,1,37,4,49,26.6734693877551,1,0.5483870967741935
D4,2026-01-13,TRP-0401,Office C,17.415,78.485,1900-01-01 15:00:00,23,13,Tuesday,January,15,0,1,23,4,34,27.852941176470587,1,1.6428571428571428
D4,2026-01-14,TRP-0402,Bank A,17.388,78.482,1900-01-01 12:00:00,13,38,Wednesday,January,12,0,1,1,4,36,27.166666666666668,1,0.3333333333333333
D4,2026-01-16,TRP-0403,Outlet 5,17.412,78.498,1900-01-01 11:15:00,60,22,Friday,January,11,0,1,28,4,43,28.72093023255814,1,2.608695652173913
D4,2026-01-17,TRP-0404,Store A,17.385,78.486,1900-01-01 09:15:00,41,42,Saturday,January,9,1,2,39,4,38,28.526315789473685,1,0.9534883720930233
D4,2026-01-20,TRP-0405,Tech Park 2,17.355,78.458,1900-01-01 16:30:00,27,14,Tuesday,January,16,0,1,50,2,38,26.289473684210527,1,1.8
D4,2026-01-21,TRP-0406,Mall 1,17.37,78.465,1900-01-01 08:15:00,10,16,Wednesday,January,8,0,2,17,2,39,29.71794871794872,1,0.5882352941176471
D4,2026-01-23,TRP-0407,Tech Park 1,17.425,78.515,1900-01-01 14:45:00,58,34,Friday,January,14,0,1,49,0,35,24.485714285714284,1,1.6571428571428573
D4,2026-02-03,TRP-0408,Restaurant 1,17.402,78.502,1900-01-01 08:30:00,43,34,Tuesday,February,8,0,2,34,4,32,30.96875,1,1.2285714285714286
D4,2026-02-04,TRP-0409,Outlet 3,17.365,78.478,1900-01-01 15:15:00,60,18,Wednesday,February,15,0,1,26,2,29,24.620689655172413,1,3.1578947368421053
D4,2026-02-07,TRP-0410,Office B,17.405,78.515,1900-01-01 10:00:00,38,31,Saturday,February,10,1,2,22,4,28,22.071428571428573,2,1.1875
D4,2026-02-09,TRP-0411,School 2,17.408,78.512,1900-01-01 13:00:00,10,36,Monday,February,13,0,1,37,4,49,26.6734693877551,1,0.2702702702702703
D4,2026-02-11,TRP-0412,Clinic A,17.382,78.483,1900-01-01 14:30:00,44,23,Wednesday,February,14,0,1,4,4,42,28.404761904761905,1,1.8333333333333333
D4,2026-02-12,TRP-0413,Hotel B,17.378,78.476,1900-01-01 08:00:00,29,31,Thursday,February,8,0,2,12,2,40,25.2,1,0.90625
D4,2026-02-13,TRP-0414,Restaurant 1,17.402,78.502,1900-01-01 15:00:00,37,34,Friday,February,15,0,1,34,4,32,30.96875,1,1.0571428571428572
D4,2026-02-17,TRP-0415,Store D,17.4,78.5,1900-01-01 08:30:00,35,20,Tuesday,February,8,0,2,42,4,50,29.36,1,1.6666666666666667
D4,2026-02-18,TRP-0416,Store A,17.385,78.486,1900-01-01 10:15:00,29,20,Wednesday,February,10,0,2,39,4,38,28.526315789473685,1,1.380952380952381
D4,2026-02-19,TRP-0417,Outlet 3,17.365,78.478,1900-01-01 09:30:00,14,44,Thursday,February,9,0,2,26,2,29,24.620689655172413,1,0.3111111111111111
D4,2026-02-24,TRP-0418,Clinic B,17.392,78.496,1900-01-01 13:30:00,49,22,Tuesday,February,13,0,1,5,4,39,28.384615384615383,1,2.130434782608696
D4,2026-03-04,TRP-0419,Hotel A,17.388,78.492,1900-01-01 14:30:00,34,20,Wednesday,March,14,0,1,11,4,44,28.045454545454547,1,1.619047619047619
D4,2026-03-06,TRP-0420,Market 2,17.385,78.508,1900-01-01 12:30:00,51,16,Friday,March,12,0,1,20,4,41,27.073170731707318,1,3.0
D4,2026-03-09,TRP-0421,Store H,17.35,78.46,1900-01-01 11:15:00,21,25,Monday,March,11,0,1,46,2,39,25.41025641025641,1,0.8076923076923077
D4,2026-03-13,TRP-0422,Warehouse 1,17.44,78.53,1900-01-01 10:00:00,38,30,Friday,March,10,0,2,51,0,38,27.92105263157895,1,1.2258064516129032
D4,2026-03-15,TRP-0423,Outlet 2,17.375,78.505,1900-01-01 12:45:00,46,40,Sunday,March,12,1,1,25,4,34,26.205882352941178,1,1.1219512195121952
D4,2026-03-20,TRP-0424,Outlet 4,17.398,78.472,1900-01-01 10:30:00,18,11,Friday,March,10,0,2,27,4,35,27.114285714285714,1,1.5
D4,2026-03-25,TRP-0425,Outlet 4,17.398,78.472,1900-01-01 16:45:00,51,26,Wednesday,March,16,0,1,27,4,35,27.114285714285714,1,1.8888888888888888
D4,2026-03-27,TRP-0426,Tech Park 2,17.355,78.458,1900-01-01 14:30:00,48,19,Friday,March,14,0,1,50,2,38,26.289473684210527,2,2.4
D4,2026-03-28,TRP-0427,Hub North,17.45,78.54,1900-01-01 16:00:00,54,10,Saturday,March,16,1,1,14,0,53,27.39622641509434,2,4.909090909090909
D4,2026-03-29,TRP-0428,Warehouse 1,17.44,78.53,1900-01-01 12:00:00,35,18,Sunday,March,12,1,1,51,0,38,27.92105263157895,1,1.8421052631578947
D4,2026-03-30,TRP-0429,Store E,17.36,78.47,1900-01-01 09:30:00,60,22,Monday,March,9,0,2,43,2,38,27.5,1,2.608695652173913
D4,2026-04-07,TRP-0430,Market 2,17.385,78.508,1900-01-01 13:15:00,13,37,Tuesday,April,13,0,1,20,4,41,27.073170731707318,1,0.34210526315789475
D4,2026-04-08,TRP-0431,Outlet 5,17.412,78.498,1900-01-01 10:30:00,31,27,Wednesday,April,10,0,2,28,4,43,28.72093023255814,2,1.1071428571428572
D4,2026-04-11,TRP-0432,Warehouse 2,17.34,78.45,1900-01-01 10:45:00,32,16,Saturday,April,10,1,2,52,2,30,24.766666666666666,1,1.8823529411764706
D4,2026-04-13,TRP-0433,Depot A,17.435,78.535,1900-01-01 10:30:00,29,18,Monday,April,10,0,2,7,0,41,28.926829268292682,1,1.5263157894736843
D4,2026-04-15,TRP-0434,Store H,17.35,78.46,1900-01-01 16:45:00,45,41,Wednesday,April,16,0,1,46,2,39,25.41025641025641,1,1.0714285714285714
D4,2026-04-18,TRP-0435,Hub North,17.45,78.54,1900-01-01 15:45:00,33,43,Saturday,April,15,1,1,14,0,53,27.39622641509434,1,0.75
D4,2026-04-20,TRP-0436,Office C,17.415,78.485,1900-01-01 14:00:00,54,11,Monday,April,14,0,1,23,4,34,27.852941176470587,1,4.5
D4,2026-04-22,TRP-0437,Mall 1,17.37,78.465,1900-01-01 12:00:00,27,26,Wednesday,April,12,0,1,17,2,39,29.71794871794872,1,1.0
D4,2026-04-27,TRP-0438,Park A,17.418,78.518,1900-01-01 09:15:00,16,22,Monday,April,9,0,2,29,0,29,26.79310344827586,1,0.6956521739130435
D4,2026-04-28,TRP-0439,Warehouse 2,17.34,78.45,1900-01-01 14:00:00,30,21,Tuesday,April,14,0,1,52,2,30,24.766666666666666,1,1.3636363636363635
D4,2026-04-30,TRP-0440,Bank B,17.398,78.498,1900-01-01 13:15:00,25,31,Thursday,April,13,0,1,2,4,29,29.17241379310345,1,0.78125
D4,2026-05-01,TRP-0441,Hub North,17.45,78.54,1900-01-01 09:30:00,10,42,Friday,May,9,0,2,14,0,53,27.39622641509434,1,0.23255813953488372
D4,2026-05-06,TRP-0442,Bus Terminal,17.384,78.456,1900-01-01 15:00:00,54,14,Wednesday,May,15,0,1,3,2,42,25.738095238095237,1,3.6
D4,2026-05-08,TRP-0443,Hotel A,17.388,78.492,1900-01-01 13:45:00,25,29,Friday,May,13,0,1,11,4,44,28.045454545454547,1,0.8333333333333334
D4,2026-05-09,TRP-0444,Mall 2,17.425,78.525,1900-01-01 16:15:00,12,31,Saturday,May,16,1,1,18,0,32,27.375,1,0.375
D4,2026-05-11,TRP-0445,Airport Gate,17.24,78.43,1900-01-01 14:30:00,39,14,Monday,May,14,0,1,0,1,46,28.369565217391305,1,2.6
D4,2026-05-13,TRP-0446,Restaurant 2,17.362,78.462,1900-01-01 10:45:00,35,40,Wednesday,May,10,0,2,35,2,38,24.55263157894737,2,0.8536585365853658
D4,2026-05-17,TRP-0447,Depot A,17.435,78.535,1900-01-01 11:45:00,42,18,Sunday,May,11,1,1,7,0,41,28.926829268292682,1,2.210526315789474
D4,2026-05-18,TRP-0448,Tech Park 1,17.425,78.515,1900-01-01 14:00:00,19,20,Monday,May,14,0,1,49,0,35,24.485714285714284,1,0.9047619047619048
D4,2026-05-21,TRP-0449,Office C,17.415,78.485,1900-01-01 12:30:00,11,44,Thursday,May,12,0,1,23,4,34,27.852941176470587,1,0.24444444444444444
D4,2026-05-25,TRP-0450,Railway Station,17.432,78.498,1900-01-01 13:45:00,12,10,Monday,May,13,0,1,33,0,37,27.62162162162162,1,1.0909090909090908
D4,2026-05-30,TRP-0451,Store E,17.36,78.47,1900-01-01 11:30:00,37,20,Saturday,May,11,1,1,43,2,38,27.5,1,1.7619047619047619
D4,2026-06-01,TRP-0452,Hub West,17.395,78.43,1900-01-01 16:45:00,31,33,Monday,June,16,0,1,16,3,49,29.20408163265306,1,0.9117647058823529
D4,2026-06-02,TRP-0453,Store H,17.35,78.46,1900-01-01 10:30:00,58,35,Tuesday,June,10,0,2,46,2,39,25.41025641025641,1,1.6111111111111112
D4,2026-06-05,TRP-0454,Depot B,17.345,78.455,1900-01-01 15:15:00,57,21,Friday,June,15,0,1,8,2,43,28.790697674418606,1,2.590909090909091
D4,2026-06-07,TRP-0455,Store H,17.35,78.46,1900-01-01 12:45:00,53,24,Sunday,June,12,1,1,46,2,39,25.41025641025641,1,2.12
D4,2026-06-12,TRP-0456,Store I,17.43,78.52,1900-01-01 14:45:00,25,11,Friday,June,14,0,1,47,0,41,28.170731707317074,1,2.0833333333333335
D4,2026-06-14,TRP-0457,Store G,17.42,78.49,1900-01-01 16:15:00,29,15,Sunday,June,16,1,1,45,4,47,30.80851063829787,1,1.8125
D4,2026-06-21,TRP-0458,Mall 1,17.37,78.465,1900-01-01 16:15:00,40,44,Sunday,June,16,1,1,17,2,39,29.71794871794872,1,0.8888888888888888
D4,2026-06-23,TRP-0459,Store D,17.4,78.5,1900-01-01 13:45:00,52,12,Tuesday,June,13,0,1,42,4,50,29.36,1,4.0
D4,2026-06-26,TRP-0460,Clinic B,17.392,78.496,1900-01-01 14:15:00,10,27,Friday,June,14,0,1,5,4,39,28.384615384615383,1,0.35714285714285715
D4,2026-06-27,TRP-0461,Office A,17.38,78.475,1900-01-01 12:45:00,32,41,Saturday,June,12,1,1,21,2,32,28.09375,1,0.7619047619047619
D4,2026-06-29,TRP-0462,Office C,17.415,78.485,1900-01-01 14:15:00,15,22,Monday,June,14,0,1,23,4,34,27.852941176470587,1,0.6521739130434783
D4,2026-07-01,TRP-0463,Store E,17.36,78.47,1900-01-01 14:30:00,15,26,Wednesday,July,14,0,1,43,2,38,27.5,1,0.5555555555555556
D4,2026-07-02,TRP-0464,Store J,17.395,78.505,1900-01-01 16:30:00,22,20,Thursday,July,16,0,1,48,4,34,28.352941176470587,2,1.0476190476190477
D4,2026-07-06,TRP-0465,School 1,17.372,78.468,1900-01-01 10:45:00,58,41,Monday,July,10,0,2,36,2,30,28.1,1,1.380952380952381
D4,2026-07-13,TRP-0466,Clinic A,17.382,78.483,1900-01-01 11:45:00,31,10,Monday,July,11,0,1,4,4,42,28.404761904761905,2,2.8181818181818183
D4,2026-07-16,TRP-0467,Store I,17.43,78.52,1900-01-01 12:15:00,33,27,Thursday,July,12,0,1,47,0,41,28.170731707317074,1,1.1785714285714286
D4,2026-07-19,TRP-0468,Tech Park 1,17.425,78.515,1900-01-01 10:15:00,15,43,Sunday,July,10,1,2,49,0,35,24.485714285714284,1,0.3409090909090909
D4,2026-07-20,TRP-0469,Store G,17.42,78.49,1900-01-01 14:45:00,47,32,Monday,July,14,0,1,45,4,47,30.80851063829787,1,1.4242424242424243
D4,2026-07-27,TRP-0470,Store B,17.39,78.495,1900-01-01 14:00:00,55,39,Monday,July,14,0,1,40,4,37,26.35135135135135,1,1.375
D4,2026-07-28,TRP-0471,Store A,17.385,78.486,1900-01-01 13:45:00,35,20,Tuesday,July,13,0,1,39,4,38,28.526315789473685,1,1.6666666666666667
D4,2026-07-29,TRP-0472,Outlet 1,17.385,78.49,1900-01-01 16:00:00,29,25,Wednesday,July,16,0,1,24,4,35,27.82857142857143,1,1.1153846153846154
D4,2026-07-30,TRP-0473,Store C,17.375,78.48,1900-01-01 11:45:00,42,11,Thursday,July,11,0,1,41,2,41,29.146341463414632,1,3.5
D4,2026-08-04,TRP-0474,Hub West,17.395,78.43,1900-01-01 16:00:00,59,17,Tuesday,August,16,0,1,16,3,49,29.20408163265306,1,3.2777777777777777
D4,2026-08-07,TRP-0475,Outlet 4,17.398,78.472,1900-01-01 08:30:00,26,33,Friday,August,8,0,2,27,4,35,27.114285714285714,1,0.7647058823529411
D4,2026-08-08,TRP-0476,Hotel B,17.378,78.476,1900-01-01 11:45:00,56,31,Saturday,August,11,1,1,12,2,40,25.2,1,1.75
D4,2026-08-11,TRP-0477,Store D,17.4,78.5,1900-01-01 09:15:00,19,33,Tuesday,August,9,0,2,42,4,50,29.36,1,0.5588235294117647
D4,2026-08-12,TRP-0478,Hotel A,17.388,78.492,1900-01-01 10:30:00,19,36,Wednesday,August,10,0,2,11,4,44,28.045454545454547,1,0.5135135135135135
D4,2026-08-16,TRP-0479,Office B,17.405,78.515,1900-01-01 08:15:00,29,13,Sunday,August,8,1,2,22,4,28,22.071428571428573,1,2.0714285714285716
D4,2026-08-17,TRP-0480,Store H,17.35,78.46,1900-01-01 15:00:00,38,12,Monday,August,15,0,1,46,2,39,25.41025641025641,2,2.923076923076923
D4,2026-08-18,TRP-0481,Store F,17.41,78.51,1900-01-01 15:45:00,58,20,Tuesday,August,15,0,1,44,4,31,24.774193548387096,1,2.761904761904762
D4,2026-08-19,TRP-0482,Store I,17.43,78.52,1900-01-01 08:15:00,20,18,Wednesday,August,8,0,2,47,0,41,28.170731707317074,1,1.0526315789473684
D4,2026-08-25,TRP-0483,Mall 1,17.37,78.465,1900-01-01 16:30:00,17,37,Tuesday,August,16,0,1,17,2,39,29.71794871794872,1,0.4473684210526316
D4,2026-08-28,TRP-0484,Market 1,17.395,78.488,1900-01-01 12:30:00,59,33,Friday,August,12,0,1,19,4,52,25.71153846153846,1,1.7352941176470589
D4,2026-09-04,TRP-0485,Mall 2,17.425,78.525,1900-01-01 11:45:00,49,44,Friday,September,11,0,1,18,0,32,27.375,1,1.0888888888888888
D4,2026-09-05,TRP-0486,Hotel B,17.378,78.476,1900-01-01 11:15:00,56,32,Saturday,September,11,1,1,12,2,40,25.2,1,1.696969696969697
D4,2026-09-11,TRP-0487,Hub East,17.395,78.55,1900-01-01 10:45:00,47,18,Friday,September,10,0,2,13,0,39,27.94871794871795,1,2.473684210526316
D4,2026-09-14,TRP-0488,Store I,17.43,78.52,1900-01-01 14:15:00,14,11,Monday,September,14,0,1,47,0,41,28.170731707317074,2,1.1666666666666667
D4,2026-09-15,TRP-0489,Store C,17.375,78.48,1900-01-01 15:45:00,41,33,Tuesday,September,15,0,1,41,2,41,29.146341463414632,2,1.2058823529411764
D4,2026-09-18,TRP-0490,Depot A,17.435,78.535,1900-01-01 13:30:00,31,11,Friday,September,13,0,1,7,0,41,28.926829268292682,1,2.5833333333333335
D4,2026-09-21,TRP-0491,Community Center,17.362,78.484,1900-01-01 12:30:00,37,36,Monday,September,12,0,1,6,2,33,26.363636363636363,2,1.0
D4,2026-09-22,TRP-0492,Office A,17.38,78.475,1900-01-01 15:15:00,56,12,Tuesday,September,15,0,1,21,2,32,28.09375,1,4.3076923076923075
D4,2026-09-23,TRP-0493,Office A,17.38,78.475,1900-01-01 12:15:00,39,16,Wednesday,September,12,0,1,21,2,32,28.09375,1,2.2941176470588234
D4,2026-09-25,TRP-0494,Store E,17.36,78.47,1900-01-01 16:45:00,30,31,Friday,September,16,0,1,43,2,38,27.5,1,0.9375
D4,2026-09-30,TRP-0495,Market 1,17.395,78.488,1900-01-01 14:00:00,18,12,Wednesday,September,14,0,1,19,4,52,25.71153846153846,1,1.3846153846153846
D4,2026-10-03,TRP-0496,Store H,17.35,78.46,1900-01-01 11:00:00,59,12,Saturday,October,11,1,1,46,2,39,25.41025641025641,1,4.538461538461538
D4,2026-10-04,TRP-0497,Clinic A,17.382,78.483,1900-01-01 08:45:00,44,40,Sunday,October,8,1,2,4,4,42,28.404761904761905,1,1.0731707317073171
D4,2026-10-05,TRP-0498,Bank B,17.398,78.498,1900-01-01 15:45:00,47,40,Monday,October,15,0,1,2,4,29,29.17241379310345,2,1.146341463414634
D4,2026-10-06,TRP-0499,Hub South,17.33,78.44,1900-01-01 15:00:00,58,19,Tuesday,October,15,0,1,15,1,33,27.272727272727273,2,2.9
D4,2026-10-07,TRP-0500,Hotel A,17.388,78.492,1900-01-01 16:00:00,46,22,Wednesday,October,16,0,1,11,4,44,28.045454545454547,1,2.0
D4,2026-10-12,TRP-0501,Hub South,17.33,78.44,1900-01-01 08:00:00,52,36,Monday,October,8,0,2,15,1,33,27.272727272727273,1,1.4054054054054055
D4,2026-10-14,TRP-0502,Store G,17.42,78.49,1900-01-01 11:00:00,58,23,Wednesday,October,11,0,1,45,4,47,30.80851063829787,1,2.4166666666666665
D4,2026-10-22,TRP-0503,Store G,17.42,78.49,1900-01-01 15:15:00,12,38,Thursday,October,15,0,1,45,4,47,30.80851063829787,1,0.3076923076923077
D4,2026-10-24,TRP-0504,Market 2,17.385,78.508,1900-01-01 12:30:00,43,41,Saturday,October,12,1,1,20,4,41,27.073170731707318,1,1.0238095238095237
D4,2026-10-30,TRP-0505,Hub North,17.45,78.54,1900-01-01 12:45:00,27,24,Friday,October,12,0,1,14,0,53,27.39622641509434,1,1.08
D4,2026-10-31,TRP-0506,Warehouse 2,17.34,78.45,1900-01-01 09:45:00,26,29,Saturday,October,9,1,2,52,2,30,24.766666666666666,1,0.8666666666666667
D4,2026-11-01,TRP-0507,Store D,17.4,78.5,1900-01-01 11:30:00,52,12,Sunday,November,11,1,1,42,4,50,29.36,1,4.0
D4,2026-11-03,TRP-0508,Airport Gate,17.24,78.43,1900-01-01 16:00:00,53,12,Tuesday,November,16,0,1,0,1,46,28.369565217391305,1,4.076923076923077
D4,2026-11-04,TRP-0509,Hub North,17.45,78.54,1900-01-01 10:30:00,23,29,Wednesday,November,10,0,2,14,0,53,27.39622641509434,1,0.7666666666666667
D4,2026-11-08,TRP-0510,Hub North,17.45,78.54,1900-01-01 10:15:00,56,20,Sunday,November,10,1,2,14,0,53,27.39622641509434,1,2.6666666666666665
D4,2026-11-14,TRP-0511,Store I,17.43,78.52,1900-01-01 13:30:00,19,42,Saturday,November,13,1,1,47,0,41,28.170731707317074,1,0.4418604651162791
D4,2026-11-15,TRP-0512,Restaurant 2,17.362,78.462,1900-01-01 08:30:00,38,41,Sunday,November,8,1,2,35,2,38,24.55263157894737,1,0.9047619047619048
D4,2026-11-18,TRP-0513,Warehouse 2,17.34,78.45,1900-01-01 14:00:00,18,42,Wednesday,November,14,0,1,52,2,30,24.766666666666666,1,0.4186046511627907
D4,2026-11-22,TRP-0514,Store D,17.4,78.5,1900-01-01 09:30:00,39,23,Sunday,November,9,1,2,42,4,50,29.36,1,1.625
D4,2026-11-24,TRP-0515,Hub North,17.45,78.54,1900-01-01 14:00:00,37,15,Tuesday,November,14,0,1,14,0,53,27.39622641509434,2,2.3125
D4,2026-11-26,TRP-0516,Store F,17.41,78.51,1900-01-01 12:30:00,26,29,Thursday,November,12,0,1,44,4,31,24.774193548387096,1,0.8666666666666667
D4,2026-11-27,TRP-0517,Airport Gate,17.24,78.43,1900-01-01 16:45:00,43,36,Friday,November,16,0,1,0,1,46,28.369565217391305,1,1.162162162162162
D4,2026-12-05,TRP-0518,Depot B,17.345,78.455,1900-01-01 15:30:00,36,43,Saturday,December,15,1,1,8,2,43,28.790697674418606,1,0.8181818181818182
D4,2026-12-06,TRP-0519,Pharmacy 2,17.405,78.495,1900-01-01 11:45:00,33,42,Sunday,December,11,1,1,32,4,33,26.454545454545453,1,0.7674418604651163
D4,2026-12-08,TRP-0520,Outlet 5,17.412,78.498,1900-01-01 15:00:00,41,35,Tuesday,December,15,0,1,28,4,43,28.72093023255814,1,1.1388888888888888
D4,2026-12-09,TRP-0521,Hotel B,17.378,78.476,1900-01-01 11:30:00,24,22,Wednesday,December,11,0,1,12,2,40,25.2,1,1.0434782608695652
D4,2026-12-14,TRP-0522,Outlet 3,17.365,78.478,1900-01-01 12:30:00,54,29,Monday,December,12,0,1,26,2,29,24.620689655172413,1,1.8
D4,2026-12-16,TRP-0523,Warehouse 1,17.44,78.53,1900-01-01 15:15:00,37,32,Wednesday,December,15,0,1,51,0,38,27.92105263157895,1,1.121212121212121
D4,2026-12-20,TRP-0524,Hub West,17.395,78.43,1900-01-01 09:00:00,23,41,Sunday,December,9,1,2,16,3,49,29.20408163265306,1,0.5476190476190477
D4,2026-12-21,TRP-0525,Market 1,17.395,78.488,1900-01-01 10:45:00,11,41,Monday,December,10,0,2,19,4,52,25.71153846153846,1,0.2619047619047619
D4,2026-12-22,TRP-0526,Pharmacy 1,17.375,78.472,1900-01-01 11:15:00,43,32,Tuesday,December,11,0,1,31,2,24,27.541666666666668,1,1.303030303030303
D4,2026-12-29,TRP-0527,Community Center,17.362,78.484,1900-01-01 10:15:00,22,18,Tuesday,December,10,0,2,6,2,33,26.363636363636363,1,1.1578947368421053
D4,2026-12-31,TRP-0528,Store B,17.39,78.495,1900-01-01 10:45:00,44,17,Thursday,December,10,0,2,40,4,37,26.35135135135135,1,2.4444444444444446
